英文,中文(繁體),production,作業
英文,中文(繁體),dependencies,依賴
英文,中文(繁體),dependent,依賴的
英文,中文(繁體),compatible,兼容
英文,中文(繁體),Verify,校驗
英文,中文(繁體),environments,環境
英文,中文(繁體),virtual,虛擬
英文,中文(繁體),deactivate,關閉
英文,中文(繁體),activate,啟用
英文,中文(繁體),series,系列
英文,中文(繁體),module,模組
英文,中文(繁體),instance,例
英文,中文(繁體),yield,產生
英文,中文(繁體),prettify,美化
英文,中文(繁體),cursor,游標
英文,中文(繁體),arguments,參數
英文,中文(繁體),divisor,除數
英文,中文(繁體),vote,投票
英文,中文(繁體),right,右
英文,中文(繁體),dumps,轉儲
英文,中文(繁體),item,項目
英文,中文(繁體),programs,程式
英文,中文(繁體),third party,第三方
英文,中文(繁體),draw,繪製
英文,中文(繁體),draw,畫
英文,中文(繁體),from scratch,從頭開始
英文,中文(繁體),from now on,從現在開始
英文,中文(繁體),archives,檔案
英文,中文(繁體),expression.,表達。
英文,中文(繁體),anonymous,匿名
英文,中文(繁體),intro,介紹
英文,中文(繁體),iterable,迭代
英文,中文(繁體),absolute,絕對
英文,中文(繁體),main,主要
英文,中文(繁體),geometry,幾何
英文,中文(繁體),label,標籤
英文,中文(繁體),check,校驗
義大利文,中文(繁體),lotto,批量
英文,中文(繁體),reverse,逆轉
英文,中文(繁體),sort,分類
英文,中文(繁體),index,索引
英文,中文(繁體),count,計數
英文,中文(繁體),insert,插入
英文,中文(繁體),value,值
英文,中文(繁體),average,平均
英文,中文(繁體),summation,合計
英文,中文(繁體),function,功能
英文,中文(繁體),east,東
英文,中文(繁體),west,西
英文,中文(繁體),Syntax,語法
英文,中文(繁體),server,伺服器
英文,中文(繁體),legend,說明
英文,中文(繁體),fieldset,字段集
英文,中文(繁體),select,選擇
英文,中文(繁體),option,選項
英文,中文(繁體),hidden,隱藏
英文,中文(繁體),reset,重啟
英文,中文(繁體),submit,提交
英文,中文(繁體),button,按鍵
英文,中文(繁體),checkbox,核取方塊
英文,中文(繁體),radio,無線電
英文,中文(繁體),password,密碼
英文,中文(繁體),method,方法
英文,中文(繁體),action,行動
英文,中文(繁體),input,輸入
英文,中文(繁體),form,表格
英文,中文(繁體),figure,圖形
英文,中文(繁體),footer,頁腳
英文,中文(繁體),aside,旁白
英文,中文(繁體),section,章節
英文,中文(繁體),article,文章
英文,中文(繁體),nav,導航
英文,中文(繁體),header,標題
英文,中文(繁體),practice,實踐
英文,中文(繁體),permission denied,沒有權限
英文,中文(繁體),default,默認
英文,中文(繁體),prompt,提示
英文,中文(繁體),For more,更多
英文,中文(繁體),information,信息
英文,中文(繁體),file,檔案
英文,中文(繁體),command,命令
英文,中文(繁體),hold,保持
英文,中文(繁體),already,已經
英文,中文(繁體),Assuming,假設
英文,中文(繁體),application,應用程式
英文,中文(繁體),directory,目錄
英文,中文(繁體),dependencies,依賴關係
英文,中文(繁體),console,控制台
英文,中文(繁體),border,邊線
英文,中文(繁體),code,代碼
英文,中文(繁體),constant,常數
英文,中文(繁體),scope,範圍
英文,中文(繁體),project,項目
英文,中文(繁體),private,私人的
英文,中文(繁體),framework,框架
英文,中文(繁體),console table,控制台表
英文,中文(繁體),list,列表
英文,中文(繁體),music,音樂
英文,中文(繁體),inner,內
英文,中文(繁體),Library,圖書館
英文,中文(繁體),function,函數
英文,中文(繁體),parse,解析
英文,中文(繁體),append,附加
英文,中文(繁體),write,寫
英文,中文(繁體),move,移動
英文,中文(繁體),remove,去掉
英文,中文(繁體),remote,遠程
英文,中文(繁體),keyframes,關鍵幀
英文,中文(繁體),visited,參觀
英文,中文(繁體),size,尺寸
英文,中文(繁體),vertical,垂直
英文,中文(繁體),clear,明確
英文,中文(繁體),font,字形
英文,中文(繁體),flex,柔性
英文,中文(繁體),radius,半徑
英文,中文(繁體),solid,固體
英文,中文(繁體),outline,輪廓
英文,中文(繁體),style,樣式
英文,中文(繁體),bottom,底部
英文,中文(繁體),top,頂部
英文,中文(繁體),color,顏色
英文,中文(繁體),transform,轉變
英文,中文(繁體),transition,過渡
英文,中文(繁體),animation,動畫
英文,中文(繁體),table,表格
英文,中文(繁體),relative,相對的
英文,中文(繁體),hover,徘徊
英文,中文(繁體),left,左
英文,中文(繁體),position,位置
英文,中文(繁體),height,高度
英文,中文(繁體),width,寬度
英文,中文(繁體),padding,填充
英文,中文(繁體),margin,餘量
英文,中文(繁體),float,浮動
英文,中文(繁體),class,類別
英文,中文(繁體),type,類型
英文,中文(繁體),link,鏈接
英文,中文(繁體),charset,字符集
英文,中文(繁體),title,標題
英文,中文(繁體),block,區塊
英文,中文(繁體),inline,直列
英文,中文(繁體),display,顯示
英文,中文(繁體),opacity,不透明度
英文,中文(繁體),image,圖片
英文,中文(繁體),background,背景
英文,中文(簡體),align,排列
英文,中文(簡體),center,中央
英文,中文(簡體),text,文本
英文,中文(簡體),content,内容
英文,中文(簡體),alert,警报
英文,中文(簡體),window,窗口
英文,中文(簡體),element,元件
英文,中文(簡體),document,文件
英文,中文(簡體),push,推
英文,中文(簡體),install,安装
英文,中文(簡體),upgrade,升级
英文,中文(簡體),update,更新
英文,中文(簡體),Integer,整数
英文,中文(繁體),create,創建